ETLAuditLogID,ETLBatchID,ETLControlID,SourceSystem,PipelineName,PipelineTriggerType,LogType,Source,Sink,DeltaDetect,DeltaDetectType,ETLMinValue,ETLMaxValue,SourceQuery,MaxExpression,RowsInserted,RowsUpdated,RowsMarkedAsDeleted,ETLStartTime,ETLEndTime,RunTimeInSecond,FileSizeInBytes,ThroughputInKbps,ActivityID,ActivityName,TableType,LoadType,LoadStatus,ErrorMsg,IsLoadSuccess,IsStageLoaded
1,625,180,CSV,pipe_src_adls_csv,PipelineActivity,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""IEEStatsDaily.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":""IEEStatsDaily\\2021\\10\\19\\"",""FileName"":""IEEStatsDaily_20211019_233412.parquet""}}]","[{""QueryPredicate"":""lastModified"",""QueryPredicateType"":""Date""}]",Predicate,00:00.0,34:26.2,NULL,MAX(lastModified),112,0,0,34:12.2,35:10.9,58,2991,0.3,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
2,625,182,CSV,pipe_adls_stage_child,PipelineActivity,ADF,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":""IEEStatsDaily\\2021\\10\\19\\"",""FileName"":""IEEStatsDaily_20211019_233412.parquet""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""CSV"",""SinkTable"":""IEEStatsDaily""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,39:29.5,NULL,NULL,0,56,0,35:43.0,39:49.9,246,NULL,NULL,2,Audit Log - Completed,Stage,Full,Completed,NULL,1,1
3,626,180,CSV,pipe_src_adls_csv,PipelineActivity,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""IEEStatsDaily.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":""IEEStatsDaily\\2021\\10\\19\\"",""FileName"":""IEEStatsDaily_20211019_234636.parquet""}}]","[{""QueryPredicate"":""lastModified"",""QueryPredicateType"":""Date""}]",Predicate,00:00.0,46:47.4,NULL,MAX(lastModified),112,0,0,46:36.5,47:19.3,43,2991,0.49,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
4,626,182,CSV,pipe_adls_stage_child,PipelineActivity,ADF,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":""IEEStatsDaily\\2021\\10\\19\\"",""FileName"":""IEEStatsDaily_20211019_234636.parquet""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""CSV"",""SinkTable"":""IEEStatsDaily""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,51:36.7,NULL,NULL,112,0,0,47:44.0,52:04.3,260,NULL,NULL,2,Audit Log - Completed,Stage,Full,Completed,NULL,1,1
5,627,180,CSV,pipe_src_adls_csv,PipelineActivity,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""IEEStatsDaily.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":""IEEStatsDaily\\2021\\10\\19\\"",""FileName"":""IEEStatsDaily_20211019_235248.parquet""}}]","[{""QueryPredicate"":""lastModified"",""QueryPredicateType"":""Date""}]",Predicate,10/19/2021 23:46,53:24.2,NULL,MAX(lastModified),0,0,0,52:48.3,53:45.4,57,0,0,2,Audit Log - Completed,Source,Incremental,Completed,NULL,1,1
6,628,180,CSV,pipe_src_adls_csv,PipelineActivity,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""IEEStatsDaily.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\CSV"",""FilePath"":"""",""FileName"":""No New Files""}}]","[{""QueryPredicate"":""lastModified"",""QueryPredicateType"":""Date""}]",Predicate,10/19/2021 23:53,02:19.5,NULL,MAX(lastModified),0,0,0,02:02.8,02:47.1,45,0,0,2,Audit Log - Completed,Source,Incremental,Completed,NULL,1,1
7,630,201,UTIL,pipe_src_adls_csv,Manual,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""MeterReadBillSchedule.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\UTIL"",""FilePath"":""MeterReadBillSchedule\\2021\\10\\20\\"",""FileName"":""MeterReadBillSchedule_20211020_212227.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,22:39.9,NULL,0,2016,0,0,22:27.3,23:38.2,71,49815,5.52,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
8,630,199,UTIL,pipe_src_adls_csv,Manual,ADF,"[{""FileSource"":{""FileServerHostName"":""\\\\brookdev\\AZSynapseDev"",""FileName"":""DatetimeReference.csv"",""FileDelimiter"":"","",""FileQuoteCharacter"":""\""""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\UTIL"",""FilePath"":""DatetimeReference\\2021\\10\\20\\"",""FileName"":""DatetimeReference_20211020_212227.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,22:41.1,NULL,0,271752,0,0,22:27.3,23:17.7,50,4123852,1360.14,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
9,-1,200,UTIL,pipe_adls_stage_child,PipelineActivity,ADF,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\UTIL"",""FilePath"":""DatetimeReference\\2021\\10\\20\\"",""FileName"":""DatetimeReference_20211020_212227.parquet""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""UTIL"",""SinkTable"":""DatetimeReference""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,29:37.9,NULL,NULL,0,0,0,25:17.0,30:00.8,283,NULL,NULL,2,Audit Log - Completed,Stage,Full,Completed,NULL,1,1
10,-1,202,UTIL,pipe_adls_stage_child,PipelineActivity,ADF,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\UTIL"",""FilePath"":""MeterReadBillSchedule\\2021\\10\\20\\"",""FileName"":""MeterReadBillSchedule_20211020_212227.parquet""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""UTIL"",""SinkTable"":""MeterReadBillSchedule""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,34:24.7,NULL,NULL,2016,0,0,30:24.0,34:45.4,261,NULL,NULL,2,Audit Log - Completed,Stage,Full,Completed,NULL,1,1
